image_path,objects,repeating_pattern,image_url,main_color_name,main_color_rgb,other_colors_names
../holden_scrape/wallpapers/full/c0002bca1a348113d13b65a20191e42964355ace.jpg,surfboard,False,https://holdendecor.co.uk/wp-content/uploads/66193-Valora-Blue-Rollshot-180x180.jpg,dim gray,"[109, 116, 114]","dim gray,gray,dark slate gray,light slate gray,silver,dark gray,rosy brown"
../holden_scrape/wallpapers/full/faccfa57467451229584e926db9974cf9a41b105.jpg,"bed,potted plant",True,https://holdendecor.co.uk/wp-content/uploads/75963-Obsidian-Grey-Silver-Roomshot-180x180.jpg,dark gray,"[169, 171, 172]","dark olive green,dim gray,gray,dark slate gray,sienna,light slate gray,silver,black,dark gray,rosy brown,slate gray"
../holden_scrape/wallpapers/full/f774073d09f35fa6ef3ff76b260426c78998d85e.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/65830-Tipaza-image-green-600x600.jpg,dark slate gray,"[66, 88, 75]","dim gray,dark olive green,gray,dark slate gray,rosy brown"
../holden_scrape/wallpapers/full/cb91d67408434c169c436434f90653b34470d79a.jpg,teddy bear,False,https://holdendecor.co.uk/wp-content/uploads/13271_Tutti_Fruity_Soft_Coral-Orange_roomshot2-180x180.jpg,wheat,"[225, 205, 182]","tan,saddle brown,gray,white smoke,sienna,khaki,silver,rosy brown,gainsboro,wheat,golden rod"
../holden_scrape/wallpapers/full/d2452adced9b26f537693b63ce8db43836ed3161.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/EleganzaCover3.jpg,gainsboro,"[225, 219, 208]","tan,dim gray,gray,silver,linen,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/7ff322774dee3fac5d5a9bffc43e3509a4c011be.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/THE-LOST-GARDENS-cover.jpg,gainsboro,"[215, 225, 217]","dark khaki,silver,dark sea green,dark gray,peru,light grey"
../holden_scrape/wallpapers/full/67991ebefc5e53ec31bb405786ce1b92bbf84848.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75960-Obsidian-Pink-Rose-Gold-shiny-Product.jpg,light grey,"[223, 208, 207]","antique white,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/699c173540eaff7760245a80939e4f7165bf2e55.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/99501-Tipu-Bead-Indigo-Blue-Roll_2.jpg,gray,"[128, 125, 118]","dim gray,gray,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/c2bf6bd4abc67ff2c33dc93cdacb65bdbf622cdf.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/36242-Pavona-Taupe-600x600.jpg,silver,"[206, 202, 190]","gainsboro,silver,light grey"
../holden_scrape/wallpapers/full/2e0001ccb13ba0ac6af96e3e45ce881c17d4fc49.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/99520-Info-600x600.jpg,snow,"[252, 252, 250]","dark olive green,dim gray,gray,dark slate gray,dark khaki,silver,black,dark gray,gainsboro"
../holden_scrape/wallpapers/full/f30284772bf3f3ca1d46761436669115be4b684b.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/66193-Valora-Blue-Roomshot-180x180.jpg,dim gray,"[101, 102, 96]","dim gray,dark olive green,gray,dark slate gray,sienna,silver,black,dark gray,rosy brown"
../holden_scrape/wallpapers/full/4e2e38abba7fd326597257d9395bbac2761f0143.jpg,"bed,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/75963-Obsidian-Grey-Silver-Roomshot.jpg,dark gray,"[162, 163, 164]","dim gray,dark olive green,gray,dark slate gray,sienna,light slate gray,silver,black,dark gray,peru,slate gray"
../holden_scrape/wallpapers/full/58bac142c99e564b7629383e7ac7f2683a0468bd.jpg,"vase,wine glass",False,https://holdendecor.co.uk/wp-content/uploads/cover-for-patagonia.jpg,rosy brown,"[171, 152, 120]","dim gray,dark olive green,gray,dark slate gray,sienna,indian red,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/0945dcf0899f588a8447576b5b523f295e4a9464.jpg,"vase,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/Eleganzaforhomepage2-300x155.jpg,silver,"[196, 193, 177]","dim gray,gray,dark slate gray,beige,indian red,silver,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/9edc5666c2e54196c8f2dc400ee90420383cb68d.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66190-Valora-Dove-Thumbnail.jpg,silver,"[209, 199, 183]","antique white,silver,linen,gainsboro,light grey"
../holden_scrape/wallpapers/full/24811ec82178b90e6ad95a13223af54d5a5e8b9e.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/Twilight-back.jpg,gray,"[120, 124, 125]","dim gray,gray,dark slate gray,light slate gray,dark sea green,dark gray"
../holden_scrape/wallpapers/full/ab9fb60ec2d8a9e3f975d1bef59de797a7c74677.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/91542_Zodiac_Blue_green.jpg,dark sea green,"[160, 164, 137]","dim gray,gray,dark slate gray,beige,light slate gray,silver,dark gray,light grey"
../holden_scrape/wallpapers/full/aae30a8885b6706c88141e801b9cb473cd2f3c4f.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66192-Valora-Beige-Thumbnail-600x600.jpg,tan,"[193, 180, 148]","rosy brown,tan,silver,wheat"
../holden_scrape/wallpapers/full/f5ec548ae2b5e0e4622a6eb5840a4c3a3ffd65b5.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/99502-Tipu-Bead-Terracotta-Roll-2_2.jpg,rosy brown,"[175, 158, 138]","dim gray,dark olive green,gray,silver,linen,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/dd868be3723327e79b3bd1d11c1861c1c9ae73c9.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/36014-Varano-Cream-Product-shine.jpg,light grey,"[225, 212, 195]","wheat,antique white,bisque,silver,gainsboro,light grey"
../holden_scrape/wallpapers/full/a2ed279a2ab600f1e5ecab4615cf1903258b66ad.jpg,surfboard,False,https://holdendecor.co.uk/wp-content/uploads/99503-Tipu-Emerald-Green-Bead-rollshot.jpg,rosy brown,"[163, 157, 137]","dim gray,dark olive green,gray,dark slate gray,beige,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/e58d77932b602eec227cab898114f071db8693ff.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/90241-vignette-stripe-teal-600x600.jpg,lavender,"[220, 230, 236]","gainsboro,lavender,light grey"
../holden_scrape/wallpapers/full/09ca6f0836fb39b917e907c126b72c2e7ad5eb9c.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Rollshot-Closeup-180x180.jpg,silver,"[194, 185, 171]","dim gray,antique white,gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/97a72cbac3fdb15718d6d72c86386c15f2bc7a15.jpg,"potted plant,couch",False,https://holdendecor.co.uk/wp-content/uploads/91412-Elba-sage-room.jpg,gray,"[144, 151, 138]","dim gray,tan,dark olive green,gray,dark slate gray,white smoke,sienna,peru,wheat"
../holden_scrape/wallpapers/full/d5801b53fbf9dfde8c7f5e927b59a69c024257d2.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/RL91743-Cassia-ochre-rollshot-600x600.jpg,peru,"[171, 140, 81]","dim gray,dark olive green,gray,dark slate gray,sienna,dark khaki,black,dark gray,rosy brown,peru,slate gray,light grey"
../holden_scrape/wallpapers/full/012c8628badb3b609403364f4fc8b5fe08be7ff9.jpg,"bird,zebra,giraffe",False,https://holdendecor.co.uk/wp-content/uploads/Dreamcatcher-cover.jpg,beige,"[240, 245, 225]","dark olive green,yellow green,cadet blue,gray,thistle,sienna,dark khaki,khaki,silver,dark sea green,golden rod,light pink,light grey,olive drab"
../holden_scrape/wallpapers/full/d405f8a6dc56f9dc5d8ffce7be928ae95c27a0ba.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Rollshot-Closeup.jpg,dark gray,"[186, 177, 164]","dim gray,antique white,gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/611aa535e9b9fab0ab62482d03d3fca91b9df21f.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66193-Valora-Blue-Thumbnail.jpg,dim gray,"[100, 104, 106]","gray,dim gray,rosy brown,dark slate gray"
../holden_scrape/wallpapers/full/4a32fd1c30d4f8bce850d8f846eb4d4f0cd01639.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/90941-Under-the-sea-light-teal-Rollshot.jpg,lavender,"[224, 242, 245]","dim gray,steel blue,dark slate gray,dark slate blue,light slate gray,indian red,khaki,light steel blue,medium sea green,dark gray,rosy brown,sky blue,powder blue"
../holden_scrape/wallpapers/full/6ea7c05abcb4ee93a57e314052406dc7610bd849.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/66191-Valora-Cream-Rollshot-Closeup-180x180.jpg,silver,"[210, 196, 170]","tan,dim gray,antique white,gray,silver,rosy brown,wheat"
../holden_scrape/wallpapers/full/b59b2b90a6e5a1dd475e39e614c23ff5f3869d19.jpg,orange,False,https://holdendecor.co.uk/wp-content/uploads/13270_Tutti_Fruity_Cream-Orange_rollshot-180x180.jpg,light grey,"[221, 218, 201]","dark olive green,antique white,gray,dark khaki,silver,dark gray,gainsboro,peru,light grey,burly wood"
../holden_scrape/wallpapers/full/9fdee58b8252cd9458aeca230bef213383dda033.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/65911-Tora-Khaki-zoom-180x180.jpg,dark slate gray,"[52, 48, 42]","dark olive green,dim gray,tan,gray,dark slate gray,black,dark gray,rosy brown,gainsboro,peru,light grey"
../holden_scrape/wallpapers/full/99da4dbdd74ab221f9ad283e8163fdc30feb08eb.jpg,bird,False,https://holdendecor.co.uk/wp-content/uploads/91532_Tundra_Navy_Ochre.jpg,dark slate gray,"[77, 83, 81]","dim gray,tan,gray,dark slate gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/08149967eedb49abd246f65da48a114f4102e6b5.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/99502-Tipu-Terracotta-bead-rollshot.jpg,silver,"[196, 184, 166]","dim gray,dark olive green,gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/4a56274ca40f7d3a8e089254c9b4685655121aa0.jpg,"vase,book,potted plant,bowl",False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Roomshot-600x600.jpg,dark gray,"[181, 171, 159]","dark olive green,dim gray,saddle brown,gray,dark slate gray,sienna,silver,black,dark gray,rosy brown"
../holden_scrape/wallpapers/full/3a4d273ffa4348e82ef492789392167cb1802266.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66160-Tinos-Taupe-Thumbnail.jpg,dark gray,"[178, 169, 152]","rosy brown,gray,silver,dark gray"
../holden_scrape/wallpapers/full/9f165a3052020cf6354ffc4fd3424682d8e7fe6a.jpg,surfboard,True,https://holdendecor.co.uk/wp-content/uploads/Style.jpg,light grey,"[198, 202, 205]","dim gray,dark olive green,gray,dark slate gray,sienna,black,dark gray,gainsboro,peru,slate gray"
